1,1,2020-10-20
1,2,2020-10-20
1,3,2020-10-20
1,4,2020-10-20
1,5,2020-10-20
1,6,2020-10-20
1,7,2020-10-20
1,8,2020-10-20
1,9,2020-10-20
1,10,2020-10-20
1,11,2020-10-20
1,12,2020-10-20
1,13,2020-10-20
2,1,2020-10-21
2,2,2020-10-21
2,3,2020-10-21
2,4,2020-10-21
2,5,2020-10-21
2,6,2020-10-21
2,7,2020-10-21
2,8,2020-10-21
2,9,2020-10-21
2,10,2020-10-21
2,11,2020-10-21
2,12,2020-10-21
2,13,2020-10-21
2,14,2020-10-21
2,15,2020-10-21
2,16,2020-10-21
2,17,2020-10-21
2,18,2020-10-21
3,1,2020-10-22
3,2,2020-10-22
3,3,2020-10-22
3,4,2020-10-22
3,5,2020-10-22
3,6,2020-10-22
3,7,2020-10-22
3,8,2020-10-22
3,9,2020-10-22
3,10,2020-10-22
3,11,2020-10-22
3,12,2020-10-22
3,13,2020-10-22
3,14,2020-10-22
3,15,2020-10-22
3,16,2020-10-22
3,17,2020-10-22
3,18,2020-10-22
3,19,2020-10-22
3,20,2020-10-22
3,21,2020-10-22
3,22,2020-10-22
3,23,2020-10-22
3,24,2020-10-22
4,1,2020-10-23
4,2,2020-10-23
4,3,2020-10-23
4,4,2020-10-23
4,5,2020-10-23
4,6,2020-10-23
4,7,2020-10-23
4,8,2020-10-23
4,9,2020-10-23
4,10,2020-10-23
4,11,2020-10-23
4,12,2020-10-23
4,13,2020-10-23
4,14,2020-10-23
4,15,2020-10-23
4,16,2020-10-23
4,17,2020-10-23
4,18,2020-10-23
4,19,2020-10-23
4,20,2020-10-23
4,21,2020-10-23
4,22,2020-10-23
4,23,2020-10-23
4,24,2020-10-23
4,25,2020-10-23
4,26,2020-10-23
4,27,2020-10-23
4,28,2020-10-23
4,29,2020-10-23
4,30,2020-10-23
4,31,2020-10-23
5,1,2020-10-24
5,2,2020-10-24
5,3,2020-10-24
5,4,2020-10-24
5,5,2020-10-24
5,6,2020-10-24
5,7,2020-10-24
5,8,2020-10-24
5,9,2020-10-24
5,10,2020-10-24
5,11,2020-10-24
5,12,2020-10-24
5,13,2020-10-24
5,14,2020-10-24
5,15,2020-10-24
5,16,2020-10-24
5,17,2020-10-24
5,18,2020-10-24
5,19,2020-10-24
5,20,2020-10-24
5,21,2020-10-24
5,22,2020-10-24
5,23,2020-10-24
5,24,2020-10-24
5,25,2020-10-24
5,26,2020-10-24
5,27,2020-10-24
5,28,2020-10-24
5,29,2020-10-24
5,30,2020-10-24
5,31,2020-10-24
5,32,2020-10-24
5,33,2020-10-24
5,34,2020-10-24
5,35,2020-10-24
5,36,2020-10-24
5,37,2020-10-24
5,38,2020-10-24
5,39,2020-10-24
5,40,2020-10-24
6,1,2020-10-25
6,2,2020-10-25
6,3,2020-10-25
6,4,2020-10-25
6,5,2020-10-25
6,6,2020-10-25
6,7,2020-10-25
6,8,2020-10-25
6,9,2020-10-25
6,10,2020-10-25
6,11,2020-10-25
6,12,2020-10-25
6,13,2020-10-25
6,14,2020-10-25
6,15,2020-10-25
6,16,2020-10-25
6,17,2020-10-25
6,18,2020-10-25
6,19,2020-10-25
6,20,2020-10-25
6,21,2020-10-25
6,22,2020-10-25
6,23,2020-10-25
6,24,2020-10-25
6,25,2020-10-25
6,26,2020-10-25
6,27,2020-10-25
6,28,2020-10-25
6,29,2020-10-25
6,30,2020-10-25
6,31,2020-10-25
6,32,2020-10-25
6,33,2020-10-25
6,34,2020-10-25
6,35,2020-10-25
6,36,2020-10-25
6,37,2020-10-25
6,38,2020-10-25
6,39,2020-10-25
6,40,2020-10-25
6,41,2020-10-25
6,42,2020-10-25
6,43,2020-10-25
6,44,2020-10-25
6,45,2020-10-25
6,46,2020-10-25
6,47,2020-10-25
6,48,2020-10-25
6,49,2020-10-25
6,50,2020-10-25
7,1,2020-10-26
7,2,2020-10-26
7,3,2020-10-26
7,4,2020-10-26
7,5,2020-10-26
7,6,2020-10-26
7,7,2020-10-26
7,8,2020-10-26
7,9,2020-10-26
7,10,2020-10-26
7,11,2020-10-26
7,12,2020-10-26
7,13,2020-10-26
7,14,2020-10-26
7,15,2020-10-26
7,16,2020-10-26
7,17,2020-10-26
7,18,2020-10-26
7,19,2020-10-26
7,20,2020-10-26
7,21,2020-10-26
7,22,2020-10-26
7,23,2020-10-26
7,24,2020-10-26
7,25,2020-10-26
7,26,2020-10-26
7,27,2020-10-26
7,28,2020-10-26
7,29,2020-10-26
7,30,2020-10-26
7,31,2020-10-26
7,32,2020-10-26
7,33,2020-10-26
7,34,2020-10-26
7,35,2020-10-26
7,36,2020-10-26
7,37,2020-10-26
7,38,2020-10-26
7,39,2020-10-26
7,40,2020-10-26
7,41,2020-10-26
7,42,2020-10-26
7,43,2020-10-26
7,44,2020-10-26
7,45,2020-10-26
7,46,2020-10-26
7,47,2020-10-26
7,48,2020-10-26
7,49,2020-10-26
7,50,2020-10-26
7,51,2020-10-26
7,52,2020-10-26
7,53,2020-10-26
7,54,2020-10-26
7,55,2020-10-26
7,56,2020-10-26
7,57,2020-10-26
7,58,2020-10-26
7,59,2020-10-26
7,60,2020-10-26
8,1,2020-10-27
8,2,2020-10-27
8,3,2020-10-27
8,4,2020-10-27
8,5,2020-10-27
8,6,2020-10-27
8,7,2020-10-27
8,8,2020-10-27
8,9,2020-10-27
8,10,2020-10-27
8,11,2020-10-27
8,12,2020-10-27
8,13,2020-10-27
8,14,2020-10-27
8,15,2020-10-27
8,16,2020-10-27
8,17,2020-10-27
8,18,2020-10-27
8,19,2020-10-27
8,20,2020-10-27
8,21,2020-10-27
8,22,2020-10-27
8,23,2020-10-27
8,24,2020-10-27
8,25,2020-10-27
8,26,2020-10-27
8,27,2020-10-27
8,28,2020-10-27
8,29,2020-10-27
8,30,2020-10-27
8,31,2020-10-27
8,32,2020-10-27
8,33,2020-10-27
8,34,2020-10-27
8,35,2020-10-27
8,36,2020-10-27
8,37,2020-10-27
8,38,2020-10-27
8,39,2020-10-27
8,40,2020-10-27
8,41,2020-10-27
8,42,2020-10-27
8,43,2020-10-27
8,44,2020-10-27
8,45,2020-10-27
8,46,2020-10-27
8,47,2020-10-27
8,48,2020-10-27
8,49,2020-10-27
8,50,2020-10-27
8,51,2020-10-27
8,52,2020-10-27
8,53,2020-10-27
8,54,2020-10-27
8,55,2020-10-27
8,56,2020-10-27
8,57,2020-10-27
8,58,2020-10-27
8,59,2020-10-27
8,60,2020-10-27
8,61,2020-10-27
8,62,2020-10-27
8,63,2020-10-27
8,64,2020-10-27
8,65,2020-10-27
8,66,2020-10-27
8,67,2020-10-27
9,1,2020-10-28
9,2,2020-10-28
9,3,2020-10-28
9,4,2020-10-28
9,5,2020-10-28
9,6,2020-10-28
9,7,2020-10-28
9,8,2020-10-28
9,9,2020-10-28
9,10,2020-10-28
9,11,2020-10-28
9,12,2020-10-28
9,13,2020-10-28
9,14,2020-10-28
9,15,2020-10-28
9,16,2020-10-28
9,17,2020-10-28
9,18,2020-10-28
9,19,2020-10-28
9,20,2020-10-28
9,21,2020-10-28
9,22,2020-10-28
9,23,2020-10-28
9,24,2020-10-28
9,25,2020-10-28
9,26,2020-10-28
9,27,2020-10-28
9,28,2020-10-28
9,29,2020-10-28
